time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/explained_variance,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate
2048,1,232,8,,,,,,,,,,,,,
4096,2,251,16,0.47507996642962097,0.2,0.00498046875,-2.8363176584243774,0.9985597133636475,0.16521430015563965,0.0026399954,0.020529000088572502,-0.002459142921725288,3000.0,10,-8200.135971,0.0001
6144,3,259,23,0.02558045309269801,0.2,0.063134765625,-2.8361562222242354,1.0004990100860596,0.8553385734558105,0.0066056275,-0.03908618912100792,-0.0107117333158385,3000.0,20,-4981.6474069999995,0.0001
8192,4,263,31,0.024109776434488594,0.2,0.0171875,-2.8418227255344393,1.0027635097503662,0.7757831811904907,0.004345431,-0.022566042840480804,-0.004042046557879075,3000.0,30,-4981.6474069999995,0.0001
10240,5,261,39,0.03716486203484237,0.2,0.001220703125,-2.8430155485868456,1.0021233558654785,0.9217351078987122,0.0014543049,-0.028275247663259506,-0.0017994521651417017,3000.0,40,-5790.627309333333,0.0001
12288,6,244,50,0.023819916672073303,0.2,0.020361328125,-2.8430959045886994,1.0026156902313232,0.9203052520751953,0.004683842,-0.02738899551331997,-0.004151590564288199,3000.0,50,-6395.73956475,0.0001
14336,7,234,61,0.02548581706942059,0.2,0.04375,-2.8450654983520507,1.0051017999649048,0.8921082019805908,0.005804413,-0.0328252874314785,-0.004072667902801186,3000.0,60,-6395.73956475,0.0001
16384,8,227,71,0.019644422514829785,0.2,0.07412109375,-2.8480022877454756,1.0045390129089355,0.7622007131576538,0.007701789,-0.03508555144071579,-0.010262703045736999,3000.0,70,-5863.8228751999995,0.0001
18432,9,222,82,0.02055164163466543,0.2,0.04189453125,-2.846001628041267,1.0035992860794067,0.8916072249412537,0.004682575,-0.030148983001708984,-0.0056822506769094614,3000.0,80,-6071.358067666667,0.0001
20480,10,219,93,0.014992466234252788,0.2,0.00224609375,-2.845093050599098,1.00339674949646,-0.4736834764480591,0.0010024284,-0.03345846012234688,-0.0020296293630963193,3000.0,90,-6071.358067666667,0.0001
22528,11,216,104,0.0019508106153807603,0.2,0.051416015625,-2.8426447927951815,1.0014612674713135,-0.05624890327453613,0.005223893,-0.03739144280552864,-0.005983984429622069,3000.0,100,-5458.484971714286,0.0001
24576,12,213,115,0.014268537529278546,0.2,0.02490234375,-2.8415532648563384,1.0023183822631836,0.6151742339134216,0.00542929,-0.03453133627772331,-0.00284415123751387,3000.0,110,-5994.247472375,0.0001
26624,13,211,125,0.026813065190799533,0.2,0.011962890625,-2.8446435809135435,1.0041272640228271,-0.03259015083312988,0.0025663937,-0.028055932372808456,-0.004120726772816852,3000.0,120,-5994.247472375,0.0001
28672,14,209,136,0.0038003262336133046,0.2,0.129345703125,-2.8456321954727173,1.0033199787139893,0.2942679524421692,0.009348418,-0.03653808683156967,-0.011397406336618588,3000.0,130,-5328.139846222222,0.0001
30720,15,208,147,0.0055669704743195325,0.2,0.00869140625,-2.845023038983345,1.0030760765075684,0.8241293430328369,0.0024960781,-0.03718807175755501,-0.004583838063990697,3000.0,140,-4846.3812476,0.0001
32768,16,207,157,0.004252105551131535,0.2,0.00478515625,-2.8456214636564257,1.0045392513275146,0.9113123416900635,0.003305824,-0.038116805255413055,-0.0022200392209924757,3000.0,150,-4846.3812476,0.0001
34816,17,206,168,0.01682187003316358,0.2,0.05927734375,-2.8484768509864806,1.0060055255889893,0.05784142017364502,0.0067602685,-0.038660235702991486,-0.0068822389584966,3000.0,160,-5223.810048,0.0001
36864,18,205,179,0.01995470029069111,0.2,0.08798828125,-2.850334343314171,1.006487488746643,0.8544811606407166,0.007547087,-0.04136337339878082,-0.008824847685173155,3000.0,170,-5113.488670666667,0.0001
38912,19,204,190,0.007773311520577408,0.2,0.040380859375,-2.852707874774933,1.0091394186019897,0.9409152865409851,0.004808655,-0.028013817965984344,-0.0038470824714750052,3000.0,180,-5113.488670666667,0.0001
40960,20,205,199,0.0036721842421684413,0.2,0.038623046875,-2.857711872458458,1.0106377601623535,-1.3347461223602295,0.0049571767,-0.0354045033454895,-0.004409371339716017,3000.0,190,-5030.828041,0.0001
43008,21,207,206,0.017494237949722446,0.2,0.09677734375,-2.8584654569625854,1.0097911357879639,0.039012253284454346,0.008045655,-0.0334964282810688,-0.004649836504540872,3000.0,200,-5284.928043928571,0.0001
45056,22,210,213,0.012110120884608477,0.2,0.0466796875,-2.856374928355217,1.0089774131774902,0.2584817409515381,0.005868909,-0.031500354409217834,-0.0037956166954245417,3000.0,210,-5206.9770404,0.0001
47104,23,213,221,0.003073395475803409,0.2,0.02373046875,-2.858900225162506,1.012474775314331,-0.7387344837188721,0.004955685,-0.03597155958414078,-0.002667547849705443,3000.0,220,-5206.9770404,0.0001
49152,24,215,228,0.009223505965201185,0.2,0.13603515625,-2.8625818520784376,1.0116791725158691,0.7569466829299927,0.009555071,-0.05199601873755455,-0.016031985625158996,3000.0,230,-5117.724378749999,0.0001
51200,25,217,235,0.005877501127542928,0.2,0.029296875,-2.8584098696708677,1.009179949760437,0.8064737319946289,0.0042437892,-0.04000817611813545,-0.004295680092764087,3000.0,240,-4916.013232823529,0.0001
53248,26,219,242,0.010996343745500781,0.2,0.076025390625,-2.857472133636475,1.0111654996871948,0.8641389012336731,0.007947668,-0.043661508709192276,-0.006242249225033447,3000.0,250,-4916.013232823529,0.0001
55296,27,221,249,0.009170707888551987,0.2,0.050244140625,-2.8590948313474653,1.00968337059021,0.9607314467430115,0.0063885124,-0.03340103477239609,-0.008404012338723987,3000.0,260,-4843.775985944444,0.0001
57344,28,222,257,0.0035989787895232437,0.2,0.041796875,-2.8532409578561784,1.0057275295257568,0.8746163845062256,0.0065116677,-0.02967553213238716,-0.005009239353239536,3000.0,270,-4606.371106999999,0.0001
59392,29,224,265,0.007450502924621105,0.2,0.041162109375,-2.8482074588537216,1.0048052072525024,0.9191674590110779,0.005266442,-0.03208303079009056,-0.003630006784806028,3000.0,280,-4606.371106999999,0.0001
61440,30,225,272,0.017590884648961948,0.2,0.009033203125,-2.8473678648471834,1.0046101808547974,0.9750637412071228,0.0032514962,-0.040947895497083664,-0.0020685682859038932,3000.0,290,-4836.462408799999,0.0001
63488,31,226,280,0.011581310781184583,0.2,0.070703125,-2.844887447357178,1.0016175508499146,0.6895725727081299,0.006936889,-0.037648431956768036,-0.007222698745317757,3000.0,300,-4649.7819083333325,0.0001
65536,32,227,287,0.01687578361015767,0.2,0.01884765625,-2.8402804702520372,1.0006780624389648,0.7541590929031372,0.0037316983,-0.0318804495036602,-0.00477821612439584,3000.0,310,-4649.7819083333325,0.0001
67584,33,229,295,0.015243163338163867,0.2,0.054833984375,-2.8382803708314897,0.9998027086257935,0.7692606449127197,0.005626036,-0.04441672936081886,-0.005897705774987117,3000.0,320,-4647.293121636362,0.0001
69632,34,230,302,0.012554634670959786,0.2,0.0001953125,-2.8362924963235856,0.9987303018569946,0.6837784051895142,0.0011759067,-0.02962641231715679,-0.0014237586030503735,3000.0,330,-4525.670945304347,0.0001
71680,35,231,310,0.004846248257672414,0.2,0.038134765625,-2.834384924173355,0.9973791837692261,0.9312267303466797,0.0050688293,-0.04177189990878105,-0.00562456639308948,3000.0,340,-4525.670945304347,0.0001
73728,36,232,317,0.0037227735097985714,0.2,0.054833984375,-2.832084020972252,0.9969256520271301,0.3175116181373596,0.0046466,-0.04331588372588158,-0.0082451697147917,2893.08,350,-4224.18680464,0.0001
75776,37,233,324,0.010445354651892558,0.2,0.049853515625,-2.8344298601150513,0.9999737739562988,0.9093574285507202,0.0062299035,-0.033051155507564545,-0.005211750540183857,2897.1923076923076,360,-4357.295945769231,0.0001
77824,38,234,332,0.010214712747256272,0.2,0.04482421875,-2.840043765306473,1.001826524734497,0.8649223446846008,0.0069295135,-0.03990522772073746,-0.00498594842501916,2897.1923076923076,370,-4357.295945769231,0.0001
79872,39,235,339,0.0018111263299942948,0.2,0.074853515625,-2.8408006906509398,1.0007978677749634,-0.30031442642211914,0.0068339766,-0.02905035763978958,-0.010418062433018349,2901.0,380,-4226.392741851852,0.0001
81920,40,235,347,0.01985319454979617,0.2,0.0095703125,-2.839064782857895,1.0003145933151245,0.7742855548858643,0.0033915862,-0.030525483191013336,-0.003767100177356042,2904.535714285714,390,-4423.99517525,0.0001
83968,41,236,354,0.01410816597926896,0.2,0.00517578125,-2.8359247773885725,0.9972630739212036,0.8994670510292053,0.0029590947,-0.0324588268995285,-0.0030768067634198816,2904.535714285714,400,-4423.99517525,0.0001
86016,42,237,362,0.0029177700998843648,0.2,0.037353515625,-2.831537756323814,0.9965056777000427,-0.9388868808746338,0.005286101,-0.03706972673535347,-0.006073860079050064,2907.8275862068967,410,-4275.545592551724,0.0001
88064,43,238,369,0.005269218266766984,0.2,0.0439453125,-2.8312028348445892,0.9969069957733154,0.9231501817703247,0.005365462,-0.032629236578941345,-0.0031339269975433127,2910.9,420,-4391.297874633334,0.0001
90112,44,238,377,0.0076146565887029284,0.2,0.01181640625,-2.830895644426346,0.9960697293281555,0.5494371056556702,0.0034749147,-0.0284073818475008,-0.002103773003909737,2910.9,430,-4391.297874633334,0.0001
92160,45,239,384,0.0034007991809630765,0.2,0.012841796875,-2.8285268187522887,0.9942928552627563,0.925717294216156,0.0046269,-0.035958096385002136,-0.0016804357350338251,2913.7741935483873,440,-4426.2281054193545,0.0001
