episode,training_round,outcome,steps,reward
185,14,timeout,3000,-5914.448154
186,14,timeout,3000,-176.344527
187,14,timeout,3000,-1748.296819
188,14,timeout,3000,-135.549834
189,14,timeout,3000,-1172.464486
190,14,timeout,3000,111.280999
191,14,timeout,3000,-945.769164
192,14,timeout,3000,-3629.592537
193,14,timeout,3000,-7373.026881
194,14,timeout,3000,-2148.323954
195,14,timeout,3000,-953.199885
196,14,timeout,3000,-6679.457634
197,14,timeout,3000,-2092.732091
198,14,timeout,3000,-997.784518
199,14,goal,3000,-793.887819
200,14,timeout,2261,-5377.670139
201,14,timeout,3000,168.938526
202,14,timeout,3000,-7021.030178
203,14,timeout,3000,-63.269648
204,14,timeout,3000,-4675.909302
205,14,timeout,3000,-129.786925
206,14,timeout,3000,81.479873
207,14,timeout,3000,-1548.349171
208,14,timeout,3000,-597.113829
209,14,timeout,3000,-531.039836
210,14,timeout,3000,-2987.690509
211,14,timeout,3000,-820.593595
212,14,timeout,3000,111.134969
213,14,timeout,3000,-1637.290131
214,14,timeout,3000,-3439.307615
215,14,timeout,3000,-480.565201
216,14,timeout,3000,-713.134527
217,14,timeout,3000,-1022.086789
218,14,timeout,3000,1391.991301
219,14,timeout,3000,-9252.518646
220,14,timeout,3000,-48.694253
221,14,timeout,3000,-568.330846
222,14,timeout,3000,-349.633288
223,14,timeout,3000,1416.333586
224,14,timeout,3000,-8443.194681
225,14,timeout,3000,-1922.892273
226,14,timeout,3000,-550.344125
227,14,timeout,3000,-4516.707896
228,14,timeout,3000,-1937.115062
229,14,timeout,3000,-386.490505
230,14,timeout,3000,-2537.38252
231,14,timeout,3000,-4389.816898
232,14,timeout,3000,-192.360959
233,14,timeout,3000,-494.046128
234,14,timeout,3000,-314.563238
235,14,timeout,3000,120.051285
236,14,timeout,3000,-908.371657
237,14,timeout,3000,-867.893678
238,14,timeout,3000,-7557.038894
239,14,timeout,3000,-446.166604
240,14,timeout,3000,-470.867666
241,14,timeout,3000,-8283.361992
242,14,timeout,3000,-1944.563005
243,14,timeout,3000,-10120.75259
244,14,timeout,3000,-2409.635458
245,14,timeout,3000,-7159.481032
246,14,timeout,3000,-47.136493
247,14,timeout,3000,-391.931843
248,14,timeout,3000,210.958062
249,14,timeout,3000,-663.32277
250,14,timeout,3000,-1400.610202
251,14,timeout,3000,-7629.064534
252,14,timeout,3000,-703.484217
253,14,timeout,3000,-389.771201
254,14,timeout,3000,-889.536143
255,14,timeout,3000,-3768.126516
256,14,timeout,3000,-4004.003952
257,14,timeout,3000,-8073.035252
258,14,timeout,3000,195.64217
259,14,timeout,3000,-1058.421197
260,14,timeout,3000,-338.813904
261,14,timeout,3000,7.331771
262,14,timeout,3000,-290.540204
263,14,timeout,3000,-875.065363
264,14,timeout,3000,-344.947019
265,14,timeout,3000,-10790.222548
266,14,timeout,3000,-9556.235227
267,14,goal,3000,-8730.173574
268,14,timeout,1,10.0
269,14,timeout,3000,-1117.759714
270,14,timeout,3000,-1878.829073
271,14,timeout,3000,145.431184
272,14,timeout,3000,-4605.57636
273,14,timeout,3000,-954.059576
274,14,timeout,3000,-1348.671985
275,14,timeout,3000,95.365444
276,14,timeout,3000,-151.283844
277,14,goal,3000,98.293099
278,14,goal,353,-698.603801
279,14,timeout,935,936.031745
280,14,timeout,3000,-6203.759487
281,14,timeout,3000,-1408.427995
282,14,timeout,3000,-650.165038
283,14,timeout,3000,-800.88879
284,14,timeout,3000,-4596.71821
285,14,goal,3000,-4729.037657
286,14,goal,19,29.781338
287,14,timeout,1214,844.148537
288,14,goal,3000,139.37144
289,14,timeout,661,327.847949
290,14,timeout,3000,-7.278291
291,14,timeout,3000,-4224.296053
292,14,timeout,3000,-32.01323
293,14,timeout,3000,-5216.540184
294,14,timeout,3000,-2556.990539
295,14,timeout,3000,-1660.386867
296,14,timeout,3000,-690.588152
297,14,timeout,3000,-957.456717
298,14,goal,3000,21.71327
299,14,timeout,5,22.088915
300,14,timeout,3000,9.768436
301,14,timeout,3000,-1570.917041
302,14,timeout,3000,69.534402
303,14,timeout,3000,163.590278
304,14,timeout,3000,41.701232
305,14,timeout,3000,-428.106683
306,14,timeout,3000,-99.994408
307,14,timeout,3000,-4802.791031
308,14,timeout,3000,-108.677616
309,14,goal,3000,-2807.290752
310,14,timeout,624,-1974.61075
311,14,timeout,3000,-4720.675881
312,14,timeout,3000,-899.197997
313,14,timeout,3000,-10578.28805
314,14,timeout,3000,-1.133845
315,14,timeout,3000,-966.287505
316,14,timeout,3000,-41.396871
317,14,timeout,3000,-1007.918623
318,14,timeout,3000,-1830.959157
319,14,timeout,3000,-610.261518
320,14,timeout,3000,122.655825
321,14,timeout,3000,-1783.018196
322,14,timeout,3000,-7025.217563
323,14,timeout,3000,-1476.04421
324,14,timeout,3000,-1095.208855
