#{"t_start": 1755855431.188443, "env_id": "None"}
r,l,t
-277.984703,3000,8716.767306
190.967884,3000,8727.980726
-2389.823413,3000,8739.331847
-3161.906343,3000,8750.33662
-464.345216,3000,8761.466043
6.103707,3000,8772.621311
192.114676,3000,8783.634684
-2548.670305,3000,8794.752772
-2743.550384,3000,8805.774772
-3707.295775,3000,8816.75251
259.381827,3000,8827.81171
-734.01021,3000,8839.122825
-641.379964,3000,8850.182441
-346.263548,3000,8861.275806
-943.556538,3000,8872.410394
-1673.111354,3000,8883.733776
-6120.526527,3000,8894.722956
-2194.310953,3000,8906.044651
-2940.524405,3000,8917.316115
627.721996,3000,8928.505467
-483.580449,3000,8939.829001
-147.066045,3000,8951.124979
207.325502,3000,8962.201613
67.346711,3000,8973.333182
192.807404,3000,8984.691795
-9650.463439,3000,8995.849539
-743.73929,3000,9007.039036
-1680.846698,3000,9018.091942
-2560.955335,3000,9029.321705
-994.624615,3000,9040.461397
-857.38753,3000,9051.817839
-59.178986,3000,9062.972131
-160.574879,3000,9074.467164
-1241.152981,3000,9085.695329
-51.38972,3000,9097.065258
-1467.763371,3000,9108.254594
-139.012251,3000,9120.299057
91.52864,3000,9131.525188
155.114263,3000,9142.701432
-1262.444452,3000,9154.045716
-1274.129309,3000,9165.137489
8.997636,3000,9176.314427
-147.206622,3000,9187.489521
-567.025695,3000,9198.768508
-104.828635,3000,9209.846567
-8429.959515,3000,9221.090964
-1003.670074,3000,9232.242185
-146.005097,3000,9243.342154
-1454.073455,3000,9254.380501
106.429559,3000,9265.481509
67.910468,16,9265.543566
62.505559,3000,9276.639752
53.04316,3000,9287.673612
1720.484804,3000,9298.939888
-676.035509,3000,9310.027367
-283.477813,3000,9321.194701
183.901018,3000,9332.293565
-454.028842,3000,9343.528472
23.93972,3000,9354.65849
270.672162,3000,9365.824399
106.964126,3000,9376.977813
-1821.739903,3000,9388.263438
-152.539409,3000,9399.307404
-3546.589604,3000,9410.57004
-187.949283,3000,9421.680162
-1304.70014,3000,9433.027311
-363.818483,3000,9444.451704
-1888.502816,3000,9455.62365
188.310257,3000,9466.9553
-1707.585283,3000,9478.027547
-526.876011,3000,9489.321479
-2087.319358,3000,9500.533385
-1167.352394,3000,9511.884864
-1647.431267,3000,9523.02108
-656.583325,3000,9534.260216
-48.39951,3000,9545.364179
-561.142203,3000,9556.779298
-8458.312955,3000,9567.960852
-833.034492,320,9569.117461
55.813117,3000,9580.460557
-2019.660416,3000,9591.505246
-81.065016,3000,9602.942048
30.226711,1028,9606.691603
92.433077,3000,9618.031996
-5317.258054,3000,9629.167885
214.941636,3000,9640.448616
225.571968,3000,9651.64493
-4414.477727,3000,9662.664194
-604.710097,3000,9673.814707
-502.803831,3000,9684.928099
-8596.073797,3000,9696.344306
-1192.198479,3000,9707.255039
-2252.809221,3000,9718.545584
-8083.030562,3000,9729.498745
-3193.120284,3000,9740.716984
-965.432898,3000,9751.795134
-4991.028388,3000,9763.140642
1583.111961,3000,9774.422484
226.273722,3000,9785.927696
-9972.397961,3000,9797.204185
-205.084057,3000,9809.404264
3388.374678,3000,9820.43376
-10391.47704,3000,9831.450255
64.055014,3000,9842.806405
-863.707543,3000,9854.035674
-1341.507747,3000,9865.252266
-755.051116,3000,9876.895425
-2497.610164,3000,9888.83222
